,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
50,Akali,1,1.3%,-,1,1,1,0,100%,9,0,8,17,188,6.52,12.8,444,-,-,70.8%,37.5%,21.6%,
51,Fiddlesticks,1,1.3%,-,1,1,1,0,100%,5,4,10,3.75,112,2.6,12.3,286,-,-,75%,25%,17.9%,
52,Katarina,1,1.3%,-,1,1,1,0,100%,12,2,16,14,195,6.65,14.7,501,-,-,71.8%,30.8%,21.9%,
53,Lissandra,1,1.3%,-,1,1,1,0,100%,4,2,11,7.5,363,9.66,16.6,442,-,-,57.7%,15.4%,22.4%,
54,Riven,1,1.3%,-,1,1,1,0,100%,0,2,4,2,345,7.62,16.3,360,-,-,36.4%,0%,21.3%,
55,Swain,1,1.3%,-,1,1,1,0,100%,1,8,9,1.25,211,4.17,13.6,269,-,-,47.6%,4.8%,16.1%,
56,Galio,1,1.3%,-,1,1,0,1,0%,0,7,3,0.43,165,5.07,7.9,243,-,-,27.3%,0%,17%,
57,Nunu,1,1.3%,-,1,1,0,1,0%,0,5,2,0.4,93,2.8,7.4,223,-,-,100%,0%,16.7%,
58,Varus,1,1.3%,-,1,1,0,1,0%,3,3,0,1,221,7.67,9.1,316,-,-,100%,100%,26.9%,
59,Vi,1,1.3%,-,1,1,0,1,0%,0,7,1,0.14,112,3.23,7.5,216,-,-,50%,0%,16.9%,
60,Gragas,1,1.3%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
