,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
0,Pantheon,120,100%,119,1,1,1,0,100%,5,7,10,2.14,261,6.52,14.5,362,-,-,71.4%,23.8%,19.1%,
1,Qiyana,109,90.8%,86,23,15,13,10,56.5%,4.09,3,5.7,3.26,191.65,5.95,11.5,359,-,-,60.3%,25.2%,19.6%,
2,Xayah,102,85%,45,57,21,35,22,61.4%,4.39,1.75,4.86,5.27,339.32,10.27,15.4,467,-,-,68.9%,32.7%,25.5%,
3,Syndra,96,80%,67,29,15,13,16,44.8%,3.45,2.55,4,2.92,315.52,8.86,14.2,400,-,-,59.3%,27.5%,22.5%,
4,Renekton,95,79.2%,62,33,17,17,16,51.5%,2.85,2.64,3.42,2.38,262.27,7.85,13.1,391,-,-,47.6%,21.6%,21.4%,
5,Akali,89,74.2%,54,35,20,17,18,48.6%,3.89,1.83,3.83,4.22,292.49,8.76,13.6,406,-,-,54%,27.2%,22.2%,
6,Kai'Sa,88,73.3%,17,71,22,37,34,52.1%,4.69,1.9,4.11,4.63,307.1,9.58,14.5,453,-,-,65.2%,34.8%,24.9%,
7,Gragas,83,69.2%,34,49,18,32,17,65.3%,1.88,2.78,7.53,3.39,128.57,3.86,10,301,-,-,66%,13.2%,16.4%,
8,Nautilus,77,64.2%,25,52,21,28,24,53.8%,1.08,3.33,7.25,2.5,75,2.22,8.6,253,-,-,58.8%,7.6%,14%,
9,Gangplank,72,60%,34,38,16,21,17,55.3%,2.53,2.61,6.26,3.37,278.5,8.03,14.5,417,-,-,63.6%,18.3%,22.8%,
10,Lee Sin,71,59.2%,13,58,18,30,28,51.7%,2.66,2.5,5.97,3.45,159.55,4.84,10.8,329,-,-,67.8%,20.9%,18%,
11,Rakan,71,59.2%,28,43,15,23,20,53.5%,0.51,2.26,9.21,4.31,18.19,0.54,8.3,247,-,-,76.7%,4%,13.8%,
12,Kayle,67,55.8%,43,24,16,12,12,50%,2.33,2.92,6.04,2.87,279.54,8.55,13.4,409,-,-,63%,17.6%,22.5%,
13,Elise,66,55%,34,32,15,16,16,50%,3.19,2.84,5.69,3.12,172.63,5.08,11.4,336,-,-,62.8%,22.6%,18.3%,
14,LeBlanc,65,54.2%,44,21,13,11,10,52.4%,3.19,2.24,4,3.21,264.86,7.91,12.6,376,-,-,59.2%,26.3%,20.9%,
15,Ryze,62,51.7%,26,36,16,22,14,61.1%,3.08,2.58,5.36,3.27,312.47,9.67,14.1,438,-,-,58.5%,21.3%,23.2%,
16,Thresh,44,36.7%,9,35,15,16,19,45.7%,0.77,2.94,8.34,3.1,15.91,0.48,8.1,244,-,-,66.6%,5.6%,13.5%,
17,Rek'Sai,43,35.8%,21,22,13,11,11,50%,3.14,2.41,4.64,3.23,170.64,5.12,11.2,337,-,-,59.6%,24%,18.4%,
18,Tristana,39,32.5%,21,18,15,8,10,44.4%,3.56,2.56,3.33,2.7,314.33,8.94,14.8,421,-,-,59.6%,30.8%,24%,
19,Yuumi,39,32.5%,26,13,6,5,8,38.5%,1.46,1.85,10,6.21,59.92,1.74,10.6,307,-,-,83.7%,10.7%,16.9%,
20,Ezreal,36,30%,11,25,14,11,14,44%,3,2.2,4.12,3.24,332.92,9.66,15.1,439,-,-,66.4%,28%,24.8%,
21,Vladimir,33,27.5%,16,17,7,9,8,52.9%,3.53,2.76,5.47,3.26,265.12,8.37,13.3,420,-,-,59.3%,23.3%,23.1%,
