,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
22,Yasuo,33,27.5%,18,15,8,10,5,66.7%,2.6,2.53,5.47,3.18,279.87,9.05,13,421,-,-,64.4%,20.7%,22.8%,
23,Jayce,32,26.7%,13,19,8,8,11,42.1%,2.79,3.05,4.16,2.28,270.84,8.48,13,407,-,-,64.7%,26%,22.9%,
24,Twisted Fate,32,26.7%,23,9,6,4,5,44.4%,1.22,3,4.11,1.78,263.56,8.21,13.3,414,-,-,56.5%,12.9%,23.2%,
25,Jarvan IV,31,25.8%,13,18,13,7,11,38.9%,1.17,2.83,7.78,3.16,149.78,4.52,10,301,-,-,80.9%,10.6%,17.3%,
26,Leona,30,25%,10,20,11,13,7,65%,0.75,3.7,7.85,2.32,73,2.08,9,256,-,-,57.3%,5%,13.7%,
27,Olaf,30,25%,20,10,7,6,4,60%,3.7,2.8,4.2,2.82,149.3,4.89,10.3,338,-,-,57.2%,26.8%,18.4%,
28,Lucian,28,23.3%,12,16,12,5,11,31.3%,3.5,3.25,3.69,2.21,292.38,8.94,13.5,413,-,-,61.5%,29.9%,23.7%,
29,Morgana,28,23.3%,19,9,4,5,4,55.6%,1.22,2.44,7.33,3.5,56.44,1.54,9.7,266,-,-,63.6%,9.1%,14.8%,
30,Irelia,28,23.3%,20,8,8,3,5,37.5%,3.63,3.75,4.38,2.13,289.88,8.52,13.8,405,-,-,59.3%,26.9%,22.6%,
31,Gnar,26,21.7%,8,18,11,11,7,61.1%,2.06,2.44,5.61,3.14,258.44,7.41,12.9,369,-,-,59.2%,15.9%,20.6%,
32,Galio,25,20.8%,10,15,12,5,10,33.3%,1.33,3.27,6.73,2.47,157.33,4.93,9.5,299,-,-,67.2%,11.1%,17.2%,
33,Pyke,25,20.8%,12,13,10,4,9,30.8%,1.77,3.31,4.54,1.91,72.54,2.3,9.1,288,-,-,60.3%,16.9%,16%,
34,Rumble,23,19.2%,18,5,3,3,2,60%,4.6,2,7.6,6.1,223,7.16,12.1,388,-,-,77.2%,29.1%,21.2%,
35,Camille,21,17.5%,7,14,10,8,6,57.1%,2.5,2.64,5.29,2.95,252.14,7.98,12.3,388,-,-,61.6%,19.8%,21.3%,
36,Alistar,21,17.5%,7,14,8,5,9,35.7%,0.43,3.64,5.57,1.65,44.71,1.54,6.4,221,-,-,59.6%,4.3%,12.9%,
37,Kled,21,17.5%,12,9,7,5,4,55.6%,2.56,1.67,3.67,3.73,240.89,7.63,11.4,362,-,-,51.9%,21.3%,20.5%,
38,Nocturne,20,16.7%,8,12,10,3,9,25%,1.83,3.42,6.08,2.32,176.75,5.22,10.7,315,-,-,72.5%,16.8%,18.6%,
39,Heimerdinger,20,16.7%,13,7,4,4,3,57.1%,2.86,2.43,6.71,3.94,282.57,7.15,14.7,371,-,-,61.5%,18.3%,20.2%,
40,Skarner,17,14.2%,9,8,7,1,7,12.5%,0.5,3.25,7.25,2.38,155,4.2,10.2,277,-,-,72.1%,4.7%,16.4%,
41,Ornn,16,13.3%,6,10,7,7,3,70%,1.7,2.7,7.2,3.3,176.2,5.6,10.2,324,-,-,58.6%,11.2%,17.4%,
42,Orianna,15,12.5%,2,13,9,7,6,53.8%,2.08,2.62,7,3.47,309.08,8.49,14,385,-,-,69.4%,15.9%,21.5%,
43,Veigar,15,12.5%,9,6,5,3,3,50%,3.17,1.67,5.83,5.4,255.17,8.19,12.3,395,-,-,72%,25.3%,22.1%,
44,Blitzcrank,14,11.7%,6,8,6,3,5,37.5%,1.38,4.25,6.75,1.91,17.13,0.47,9.3,256,-,-,49.2%,8.3%,13.9%,
45,Aatrox,13,10.8%,2,11,9,5,6,45.5%,2.55,2.55,3.64,2.43,211.45,7.4,10.6,372,-,-,56.2%,23.1%,21.3%,
46,Taliyah,13,10.8%,4,9,4,6,3,66.7%,3.11,2,6.56,4.83,169.11,5.26,11.1,345,-,-,65.4%,21.1%,18.3%,
47,Cassiopeia,13,10.8%,5,8,5,4,4,50%,3,3.88,5.5,2.19,272.88,8.33,13.1,399,-,-,59.6%,21.1%,22%,
48,Quinn,13,10.8%,9,4,4,2,2,50%,3.75,3.25,3,2.08,281.25,8.43,13.6,407,-,-,54%,30%,22.9%,
49,Kennen,12,10%,5,7,4,5,2,71.4%,2.57,2.86,6.29,3.1,251.86,7.89,12.7,398,-,-,56.9%,16.5%,20.9%,
50,Tahm Kench,11,9.2%,4,7,4,5,2,71.4%,1.14,2.43,13.86,6.18,87.14,2.48,10.2,291,-,-,77.2%,5.9%,15%,
51,Varus,10,8.3%,1,9,4,6,3,66.7%,6.44,2.67,7.22,5.13,312.67,9.42,15.6,470,-,-,69.9%,33%,24.8%,
52,Shen,10,8.3%,2,8,7,3,5,37.5%,1.75,4.88,5.63,1.51,160.88,4.81,10.3,307,-,-,67%,15.9%,17.7%,
53,Draven,10,8.3%,7,3,2,2,1,66.7%,4,2,5.33,4.67,266.67,9.38,13.3,466,-,-,70%,30%,24.3%,
54,Corki,9,7.5%,1,8,5,4,4,50%,2.63,2,3.75,3.19,340,9.62,15.1,428,-,-,60.7%,25%,23.8%,
55,Garen,9,7.5%,1,8,4,3,5,37.5%,3.5,3.13,6.5,3.2,294.75,7.68,14.5,377,-,-,60.2%,21.1%,20.6%,
56,Lissandra,9,7.5%,3,6,6,3,3,50%,1.83,2.5,4.17,2.4,256.83,8.22,11.6,371,-,-,57.1%,17.5%,20.8%,
57,Karthus,8,6.7%,3,5,4,1,4,20%,2.4,2.6,2.8,2,220.6,6.31,12.1,346,-,-,56.5%,26.1%,20.3%,
58,Fiora,8,6.7%,4,4,4,2,2,50%,3.5,4,4,1.88,351.25,9.71,17.1,472,-,-,52.6%,24.6%,24.5%,
59,Karma,8,6.7%,4,4,4,2,2,50%,1.25,2.75,7.75,3.27,139.5,3.84,10.5,289,-,-,76.6%,10.6%,16.4%,
60,Caitlyn,8,6.7%,4,4,4,0,4,0%,2.5,3.5,2.5,1.43,289.75,9.43,12.4,404,-,-,51.3%,25.6%,25%,
61,Sion,7,5.8%,-,7,6,1,6,14.3%,1,2.86,3.43,1.55,262,7.54,11.4,328,-,-,57.4%,13%,19.8%,
62,Neeko,7,5.8%,1,6,5,3,3,50%,1.83,2.67,5.67,2.81,229.33,7.52,10.8,355,-,-,59.2%,14.5%,19.7%,
63,Mordekaiser,7,5.8%,1,6,4,0,6,0%,3.67,3.83,3,1.74,275.17,7.56,13.8,380,-,-,42.1%,23.2%,21.4%,
64,Ashe,7,5.8%,3,4,4,2,2,50%,3.25,2,6.75,5,272,8.76,12.5,402,-,-,66.7%,21.7%,22.8%,
65,Vayne,7,5.8%,5,2,1,2,0,100%,3,1.5,6,6,300,9.6,14.3,457,-,-,51.4%,17.1%,22.6%,
66,Cho'Gath,6,5%,1,5,3,2,3,40%,3.4,2.2,4.8,3.73,248,7.02,12.8,362,-,-,50.6%,21%,19.9%,
67,Sivir,6,5%,2,4,4,2,2,50%,3.75,1.75,4.5,4.71,391.75,10.41,16.8,446,-,-,62.3%,28.3%,24.7%,
68,Jax,6,5%,5,1,1,1,0,100%,1,0,1,2,240,8.59,10.3,367,-,-,18.2%,9.1%,19.9%,
69,Zoe,5,4.2%,-,5,5,2,3,40%,2.8,1,5.8,8.6,240.8,7.36,12,368,-,-,57.3%,18.7%,19.5%,
70,Azir,5,4.2%,-,5,4,1,4,20%,2.2,2.6,2.4,1.77,263.2,9.03,11.1,381,-,-,62.2%,29.7%,23.1%,
71,Ekko,5,4.2%,-,5,4,1,4,20%,1.6,4.4,5.2,1.55,164.8,4.86,10.2,301,-,-,73.9%,17.4%,18.2%,
72,Jinx,4,3.3%,1,3,3,1,2,33.3%,3,1.67,4.33,4.4,300.67,9.9,13.3,438,-,-,62.9%,25.7%,24.3%,
73,Jhin,4,3.3%,2,2,1,1,1,50%,6.5,1,7,13.5,427,10.11,20.4,483,-,-,58.7%,28.3%,25.1%,
74,Braum,4,3.3%,3,1,1,0,1,0%,1,3,3,1.33,84,2.16,9.8,251,-,-,23.5%,5.9%,14.2%,
75,Poppy,3,2.5%,-,3,3,1,2,33.3%,2,4.67,8.33,2.21,183,5.01,11.2,307,-,-,66%,12.8%,17.3%,
76,Fiddlesticks,3,2.5%,1,2,2,2,0,100%,1,2,8.5,4.75,22.5,0.62,8.8,243,-,-,61.3%,6.5%,13%,
77,Sylas,3,2.5%,1,2,2,0,2,0%,2.5,4,7,2.38,241.5,6.3,12.8,333,-,-,55.9%,14.7%,19.5%,
78,Hecarim,2,1.7%,-,2,1,1,1,50%,5.5,2,4.5,5,163.5,5.43,11.4,377,-,-,66.7%,36.7%,20.4%,
79,Kha'Zix,2,1.7%,-,2,2,1,1,50%,2.5,4.5,5.5,1.78,189.5,4.99,12.9,340,-,-,64%,20%,18.7%,
80,Lulu,2,1.7%,-,2,2,1,1,50%,0.5,2.5,10.5,4.4,24.5,0.64,9.3,244,-,-,88%,4%,14%,
81,Sejuani,2,1.7%,-,2,2,0,2,0%,0.5,2.5,1,0.6,129,4.73,7.6,279,-,-,100%,33.3%,19.3%,
82,Sona,2,1.7%,1,1,1,0,1,0%,1,3,5,2,257,5.91,18.4,424,-,-,75%,12.5%,22.7%,
83,Volibear,2,1.7%,1,1,1,0,1,0%,1,4,6,1.75,35,1.31,5.6,210,-,-,77.8%,11.1%,13.2%,
84,Kalista,2,1.7%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,Kog'Maw,1,0.8%,-,1,1,1,0,100%,12,6,8,3.33,402,9.16,22.4,509,-,-,90.9%,54.5%,26.9%,
86,Malphite,1,0.8%,-,1,1,1,0,100%,3,1,9,12,245,8.55,12.1,424,-,-,60%,15%,20.3%,
87,Urgot,1,0.8%,-,1,1,1,0,100%,8,5,10,3.6,287,5.9,20.3,418,-,-,72%,32%,21%,
88,Yorick,1,0.8%,-,1,1,1,0,100%,2,2,3,2.5,254,8.18,12.6,407,-,-,27.8%,11.1%,20%,
89,Anivia,1,0.8%,-,1,1,0,1,0%,1,2,0,0.5,362,11.21,12.8,397,-,-,25%,25%,24.6%,
90,Bard,1,0.8%,-,1,1,0,1,0%,0,7,10,1.43,31,0.79,9.1,233,-,-,83.3%,0%,13.8%,
91,Lux,1,0.8%,-,1,1,0,1,0%,0,3,1,0.33,15,0.49,6.2,204,-,-,50%,0%,12.8%,
92,Nidalee,1,0.8%,-,1,1,0,1,0%,1,2,1,1,102,4.49,6.3,278,-,-,100%,50%,19.6%,
93,Rengar,1,0.8%,-,1,1,0,1,0%,5,4,0,1.25,208,7.96,10.6,404,-,-,50%,50%,23.1%,
94,Vi,1,0.8%,-,1,1,0,1,0%,0,7,4,0.57,113,3.64,7.8,250,-,-,36.4%,0%,14.9%,
95,Viktor,1,0.8%,-,1,1,0,1,0%,1,2,2,1.5,245,7.52,10.2,314,-,-,60%,20%,19.5%,
96,Xin Zhao,1,0.8%,-,1,1,0,1,0%,3,3,2,1.67,179,5.24,11.4,333,-,-,55.6%,33.3%,19.6%,
97,Ziggs,1,0.8%,-,1,1,0,1,0%,5,1,4,9,539,8.5,24.2,382,-,-,56.3%,31.3%,23.3%,
98,Zilean,1,0.8%,-,1,1,0,1,0%,1,1,1,2,271,9.19,10.1,343,-,-,100%,50%,23.2%,
