,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
23,Thresh,36,29.8%,20,16,13,9,7,56.3%,0.56,2.31,8.81,4.05,32.13,1,7.5,235,3.3k,103.1,70.1%,4.2%,12.7%,
24,Talon,33,27.3%,15,18,8,10,8,55.6%,3.67,2.83,4.67,2.94,190.72,6.1,11.1,353,11.1k,355.4,66.4%,29.2%,19.9%,
25,Draven,32,26.4%,27,5,4,2,3,40%,4.2,2,3,3.6,325.8,9.32,16,458,14.4k,410.7,61%,35.6%,26%,
26,Jhin,31,25.6%,2,29,11,18,11,62.1%,3.24,1.07,5.76,8.42,297.14,8.95,13.8,415,13.1k,394.3,64.9%,23.4%,22.9%,
27,Syndra,31,25.6%,12,19,9,14,5,73.7%,3.84,2.16,7.58,5.29,287.11,8.32,13.8,401,17.3k,500.7,62.7%,21.1%,21.5%,
28,Braum,31,25.6%,13,18,13,7,11,38.9%,0.39,3,7.56,2.65,34.28,1.06,7.2,223,5.3k,165.7,68.8%,3.4%,13%,
29,Amumu,29,24%,17,12,8,4,8,33.3%,0.92,4.42,7.5,1.91,32.33,1.08,6.8,227,4.5k,149.4,61.6%,6.7%,12.9%,
30,Azir,28,23.1%,14,14,7,7,7,50%,2.86,2.86,4.14,2.45,290.14,8.79,13.1,397,17.2k,521.4,50%,20.4%,22%,
31,Viego,26,21.5%,7,19,10,10,9,52.6%,3.53,2.16,6.74,4.76,196,5.56,12.1,343,10.3k,290.9,66.1%,22.7%,18.9%,
32,Olaf,24,19.8%,13,11,7,4,7,36.4%,4.36,3.18,6,3.26,214.73,5.86,12.7,347,15.6k,426.5,65.9%,27.7%,19.5%,
33,Tryndamere,23,19%,15,8,7,3,5,37.5%,4.25,2.38,5.38,4.05,312.75,8.98,15.3,439,17k,488.2,63.1%,27.9%,24.2%,
34,Orianna,22,18.2%,5,17,12,6,11,35.3%,2.35,2.24,3.82,2.76,287.47,8.97,12.6,393,13.7k,428.5,66.5%,25.3%,23%,
35,Renekton,21,17.4%,5,16,6,8,8,50%,1.81,2.69,3.5,1.98,267.94,8.55,12.1,385,11.1k,353.9,50.6%,17.3%,22.1%,
36,Poppy,21,17.4%,10,11,7,6,5,54.5%,1.55,2.27,5.36,3.04,181.09,5.95,10,328,8k,263,55.1%,12.3%,18.2%,
37,Lulu,20,16.5%,3,17,7,9,8,52.9%,0.76,2.18,7.12,3.62,17.76,0.53,7.8,233,3.4k,102.6,74.9%,7.3%,13.3%,
38,Gnar,20,16.5%,6,14,9,5,9,35.7%,2.43,2.86,3.07,1.93,249.43,7.67,11.9,367,13k,401.2,49.7%,21.9%,21.4%,
39,Ziggs,18,14.9%,9,9,6,3,6,33.3%,2.33,2.33,4.89,3.1,344,9.06,14.8,391,25.6k,673.7,55.6%,17.9%,22.7%,
40,Nautilus,17,14%,6,11,9,5,6,45.5%,0.36,4.64,7.82,1.76,33.36,1,7.4,220,3.9k,116.6,61.6%,2.7%,12.4%,
41,Lillia,17,14%,7,10,6,5,5,50%,4.1,3.1,6,3.26,205.1,6.75,11.6,381,14.1k,465.2,69.7%,28.3%,21%,
42,Kai'Sa,15,12.4%,4,11,7,5,6,45.5%,4.55,2.18,5.36,4.54,312.27,9.21,14.6,431,15.7k,463.1,66.5%,30.5%,23.9%,
43,Galio,15,12.4%,11,4,3,1,3,25%,2,3,6.75,2.92,213.25,6.27,10.9,320,10.8k,318.6,85.4%,19.5%,19.6%,
44,Gangplank,14,11.6%,8,6,5,3,3,50%,4.17,3.5,5.67,2.81,263.83,8.09,14.5,443,21.8k,668,64.8%,27.5%,24.5%,
45,Rell,13,10.7%,3,10,6,5,5,50%,1,3.4,8.4,2.76,35,1.06,7.7,232,4.4k,133.2,61.4%,6.5%,12.9%,
46,Trundle,13,10.7%,5,8,6,3,5,37.5%,1.63,2.88,6.75,2.91,139.38,4.12,10,295,6.3k,185.8,71.3%,13.8%,17%,
47,Sett,13,10.7%,7,6,5,3,3,50%,2.17,4.17,3.83,1.44,163.83,5.43,9.5,313,9.6k,318.1,58.1%,21%,18.2%,
48,Yone,13,10.7%,8,5,4,0,5,0%,1.6,4.2,4.4,1.43,261.4,7.87,12.1,365,10.7k,323.3,52.6%,14%,21.6%,
49,Jax,12,9.9%,3,9,7,4,5,44.4%,3,3.11,4.11,2.29,286.22,8.29,14,406,14.1k,409.3,56.1%,23.7%,23%,
50,Wukong,12,9.9%,4,8,6,5,3,62.5%,4.63,2.88,5.5,3.52,252.13,7.08,14.1,396,13.6k,382,55.9%,25.5%,21.8%,
51,Gragas,10,8.3%,1,9,7,5,4,55.6%,2.33,3.22,8,3.21,197.89,5.7,11.4,328,13.9k,399.3,66%,14.9%,18.3%,
52,Lissandra,9,7.4%,3,6,3,5,1,83.3%,1.83,1.67,7,5.3,251.83,8.55,11.5,391,12.2k,414.6,62.4%,12.9%,20.5%,
53,Alistar,8,6.6%,1,7,6,2,5,28.6%,0.86,3.57,6.14,1.96,35.43,1,7.5,212,4.2k,118.8,75.4%,9.2%,12.9%,
54,Aatrox,8,6.6%,2,6,5,4,2,66.7%,2.67,1.67,5.5,4.9,262.5,8.14,12.8,396,12.3k,382.7,57.6%,18.8%,21.5%,
55,Taliyah,8,6.6%,4,4,3,3,1,75%,5.25,2.75,7,4.45,196.75,6.62,11.7,393,11.3k,380,67.1%,28.8%,19.6%,
56,Malphite,8,6.6%,5,3,2,1,2,33.3%,1.33,2.67,5.33,2.5,225,7.09,10.6,336,9.1k,287.4,60.6%,12.1%,19.7%,
57,Urgot,8,6.6%,6,2,1,2,0,100%,7,0.5,5.5,25,230.5,7.67,13.1,435,11.2k,371.9,64.1%,35.9%,22.3%,
58,Nidalee,7,5.8%,3,4,2,3,1,75%,3.75,1.25,8.5,9.8,143.5,5.71,9.6,381,11.2k,444.4,80.3%,24.6%,19.9%,
59,Yasuo,7,5.8%,3,4,4,2,2,50%,3.25,2.5,5.75,3.6,344.25,9.4,15.3,418,9.7k,263.9,67.9%,24.5%,23.6%,
60,Kassadin,7,5.8%,6,1,1,1,0,100%,8,2,8,8,321,8.24,17.9,458,32.8k,842.6,76.2%,38.1%,23.4%,
61,Rumble,6,5%,2,4,3,1,3,25%,2.25,3,3.75,2,253.5,7.94,11.5,361,15.1k,473,51.1%,19.1%,20.9%,
62,Fiora,5,4.1%,-,5,3,4,1,80%,4.8,1.4,3.4,5.86,267.2,9.37,12.9,451,13.5k,473.1,54.7%,32%,24.1%,
63,Tristana,5,4.1%,1,4,3,2,2,50%,2.5,2.25,3.5,2.67,283.75,9.18,12.5,404,8.3k,268.6,58.5%,24.4%,22.7%,
64,Malzahar,5,4.1%,2,3,3,2,1,66.7%,3.33,2,6,4.67,283.33,8.6,13.6,413,13k,394.5,65.1%,23.3%,22.9%,
65,Shen,4,3.3%,-,4,4,1,3,25%,1,3.5,7.75,2.5,68.25,2.01,8.3,244,4.9k,144.5,72.9%,8.3%,14.1%,
66,Xayah,4,3.3%,1,3,3,1,2,33.3%,1.67,3.67,4.67,1.73,293.67,9.07,12.4,381,14.2k,437.3,42.2%,11.1%,21.5%,
67,Fiddlesticks,4,3.3%,2,2,1,1,1,50%,4,4.5,6,2.22,196.5,5.04,12.4,317,13.4k,344.7,66.7%,26.7%,18.1%,
68,Kalista,4,3.3%,2,2,2,0,2,0%,3.5,4,7,2.63,320.5,8.54,15.6,415,16.9k,449.2,75%,25%,23.6%,
69,Jinx,4,3.3%,3,1,1,0,1,0%,0,3,2,0.67,308,10.13,11.6,380,11.4k,376.4,66.7%,0%,23.6%,
70,Zilean,3,2.5%,-,3,2,2,1,66.7%,0.33,1.33,13,10,40,1.1,8.8,240,2.2k,60.1,88.9%,2.2%,13.1%,
71,Akali,3,2.5%,-,3,3,1,2,33.3%,1.33,3,2.33,1.22,203.67,7.85,9,345,9.4k,362.2,32.4%,11.8%,20.4%,
72,Kled,3,2.5%,-,3,2,1,2,33.3%,1.67,4,4.33,1.5,179,6.43,9,324,8.4k,301.1,41.9%,11.6%,18.8%,
73,Pyke,3,2.5%,-,3,3,1,2,33.3%,4.33,5,6.33,2.13,47.67,1.32,10.8,298,7.3k,202.6,59.3%,24.1%,16.7%,
74,Viktor,3,2.5%,-,3,2,0,3,0%,4.33,4,5,2.33,373,8.75,17.2,403,31.6k,741,65.1%,30.2%,24.1%,
75,Annie,3,2.5%,1,2,1,1,1,50%,3,3,9,4,156.5,5.56,9.3,330,11.1k,395.9,77.4%,19.4%,18%,
76,Sejuani,3,2.5%,1,2,2,0,2,0%,2,3.5,8,2.86,194.5,4.91,11.4,288,11.6k,292.1,100%,20%,17.3%,
77,Varus,3,2.5%,1,2,1,0,2,0%,0.5,3,0.5,0.33,251.5,8.4,10,332,18k,600.3,66.7%,33.3%,22.2%,
78,Nocturne,3,2.5%,2,1,1,1,0,100%,2,3,12,4.67,168,5.98,10.5,373,11.1k,396.3,56%,8%,17.6%,
79,Sion,3,2.5%,2,1,1,1,0,100%,2,1,9,11,184,7.15,8.9,346,4.4k,170.9,57.9%,10.5%,18.3%,
80,Maokai,2,1.7%,-,2,1,1,1,50%,1,3.5,7.5,2.43,51,1.53,8,240,13.8k,413.1,68%,8%,13.5%,
81,Senna,2,1.7%,-,2,1,1,1,50%,1.5,1.5,12.5,9.33,54,1.73,9.2,296,11.9k,381,84.8%,9.1%,16.7%,
82,Zed,2,1.7%,-,2,2,1,1,50%,1.5,3,1.5,1,191,7.09,8.9,331,9k,333.4,30%,15%,19.2%,
83,Tahm Kench,2,1.7%,1,1,1,1,0,100%,4,0,7,11,286,7.81,14.7,401,11.7k,319.4,57.9%,21.1%,20.5%,
84,Karma,2,1.7%,1,1,1,0,1,0%,1,3,3,1.33,35,0.86,8.3,203,9.2k,225.3,80%,20%,12.4%,
85,Ornn,2,1.7%,1,1,1,0,1,0%,1,2,3,2,183,7.28,7.9,313,8.1k,323.2,80%,20%,20.5%,
86,Seraphine,2,1.7%,1,1,1,0,1,0%,2,1,8,10,302,8.1,14.4,386,12.2k,326.1,90.9%,18.2%,23.5%,
87,Bard,1,0.8%,-,1,1,1,0,100%,1,0,10,11,22,0.64,8.6,250,5.5k,160.3,64.7%,5.9%,13.4%,
88,Ashe,1,0.8%,-,1,1,0,1,0%,2,6,5,1.17,226,7.33,11.1,358,12.6k,409.6,53.8%,15.4%,20.5%,
89,Shaco,1,0.8%,-,1,1,0,1,0%,0,4,1,0.25,125,4.62,6.7,247,3.8k,140.6,25%,0%,17.1%,
90,Vayne,1,0.8%,-,1,1,0,1,0%,4,3,2,2,181,7.87,10.7,464,10.3k,448.7,66.7%,44.4%,28%,
91,Vladimir,1,0.8%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
