,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
0,Lee Sin,118,97.5%,60,58,22,33,25,56.9%,3.09,2.76,7.12,3.7,180.84,5.45,11.2,336,9.1k,274.1,69.6%,21.1%,18.8%,
1,Lucian,100,82.6%,66,34,14,18,16,52.9%,4.09,3.03,5.56,3.18,311.53,9.19,14.4,424,17.8k,524.2,66.3%,28.1%,23.8%,
2,LeBlanc,100,82.6%,71,29,14,15,14,51.7%,3.69,2.03,5.03,4.29,274.83,8.26,13,391,19.7k,590.4,67.8%,28.7%,22.4%,
3,Miss Fortune,98,81%,18,80,21,38,42,47.5%,3.94,2.16,4.54,3.92,310.84,9.38,14.3,432,15.9k,479.5,61.9%,28.8%,24.3%,
4,Twisted Fate,92,76%,64,28,14,15,13,53.6%,2.07,1.96,8.21,5.24,267.54,7.79,13.7,400,14.6k,426,72%,14.5%,22.3%,
5,Irelia,90,74.4%,71,19,13,7,12,36.8%,2,4.05,3.95,1.47,279.11,8.73,12.7,396,10.4k,324.5,54.6%,18.4%,22.6%,
6,Leona,87,71.9%,31,56,18,30,26,53.6%,0.73,3.29,7.84,2.61,37.63,1.16,7.5,232,3.5k,108,59.3%,5.1%,12.8%,
7,Xin Zhao,84,69.4%,39,45,18,15,30,33.3%,2.22,3.56,5.36,2.13,166.98,5.05,10.2,310,9.7k,292.3,66.1%,19.4%,18.1%,
8,Yuumi,84,69.4%,69,15,10,8,7,53.3%,1.4,1.4,9.53,7.81,7.53,0.23,7.7,242,10.4k,324.5,79.6%,10.2%,13.6%,
9,Aphelios,82,67.8%,44,38,17,24,14,63.2%,3.79,1.89,4.16,4.19,302.89,9.39,14.1,439,14.6k,453.5,57.3%,27.3%,24.1%,
10,Ryze,82,67.8%,49,33,15,15,18,45.5%,3.12,2.82,5.06,2.9,293.12,8.87,13.5,407,12.2k,369.5,59.6%,22.7%,22.6%,
11,Jarvan IV,76,62.8%,39,37,20,17,20,45.9%,2.38,3.16,7.95,3.26,179,5.3,10.9,324,8.6k,254.3,78.3%,18%,18.2%,
12,Kennen,75,62%,45,30,19,20,10,66.7%,4.1,3.5,6.2,2.94,265.83,7.48,13.9,390,18.3k,514.5,59.7%,23.7%,21.3%,
13,Graves,70,57.9%,29,41,19,23,18,56.1%,3.05,2.51,4.29,2.92,295.61,9.08,13.7,421,15.7k,481.2,56.9%,23.6%,23.3%,
14,Rakan,67,55.4%,24,43,20,24,19,55.8%,0.74,2.72,10,3.95,39.95,1.19,7.9,235,4.4k,132,74%,5.1%,13.1%,
15,Jayce,64,52.9%,30,34,17,13,21,38.2%,3.12,3.62,4.94,2.23,274.65,8.33,13.4,406,20.2k,612.8,63.4%,24.5%,23.2%,
16,Sylas,46,38%,17,29,19,14,15,48.3%,3.72,3.38,5.28,2.66,263.66,8.03,12.8,390,15.1k,459.8,64%,26.5%,22%,
17,Nami,42,34.7%,24,18,9,9,9,50%,1.17,2.44,10.28,4.68,16.33,0.48,8,238,6.4k,189.1,83.7%,8.5%,13.5%,
18,Ezreal,41,33.9%,16,25,12,12,13,48%,4,2.4,4.16,3.4,290.32,9.17,13.4,423,20.3k,639.7,62.2%,30.5%,23.8%,
19,Camille,39,32.2%,26,13,9,8,5,61.5%,3,3.85,6.54,2.48,234.54,7.44,12.3,389,11.3k,359.1,61.1%,19.2%,21.3%,
20,Zoe,38,31.4%,19,19,12,12,7,63.2%,2.95,1.53,5.11,5.28,258.16,7.78,12.2,368,17.1k,515.3,63.7%,23.3%,20.9%,
21,Gwen,38,31.4%,19,19,12,7,12,36.8%,2.47,2.32,3.68,2.66,269.42,8.43,12.5,390,14.1k,442.5,54.4%,21.9%,22.3%,
22,Qiyana,37,30.6%,22,15,8,11,4,73.3%,3.6,2.33,5.8,4.03,206.53,6.21,11.9,356,12.3k,368.7,61%,23.4%,19.1%,
