,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
41,Nidalee,3,4.8%,-,3,3,2,1,66.7%,2.33,1.67,2.67,3,250.67,7.41,11.7,345,-,-,-,-,-,
42,Diana,3,4.8%,-,3,3,1,2,33.3%,3.33,3.33,4.67,2.4,249,7.85,10.9,345,-,-,-,-,-,
43,Nunu,3,4.8%,-,3,2,1,2,33.3%,1.67,3.67,9.67,3.09,85.33,2.27,9.6,256,-,-,-,-,-,
44,Tristana,3,4.8%,-,3,3,1,2,33.3%,3.33,2.33,2.67,2.57,264.33,7.6,11.7,337,-,-,-,-,-,
45,Malphite,3,4.8%,-,3,3,0,3,0%,1.67,2.67,3.67,2,177,5.91,7.8,260,-,-,-,-,-,
46,Yorick,3,4.8%,1,2,2,1,1,50%,1,2,4.5,2.75,190.5,5.58,9.9,290,-,-,-,-,-,
47,Riven,2,3.2%,-,2,1,2,0,100%,3.5,3,7,3.5,241,7.57,11.9,374,-,-,-,-,-,
48,Nami,2,3.2%,-,2,1,1,1,50%,0,2,10.5,5.25,27.5,0.75,7,191,-,-,-,-,-,
49,Syndra,2,3.2%,-,2,1,1,1,50%,9,3.5,7.5,4.71,271,9.12,13,438,-,-,-,-,-,
50,Shyvana,2,3.2%,-,2,2,0,2,0%,0.5,4.5,1.5,0.44,225.5,6.87,9.2,280,-,-,-,-,-,
51,Blitzcrank,1,1.6%,-,1,1,1,0,100%,4,2,12,8,14,0.47,8.7,290,-,-,-,-,-,
52,Cassiopeia,1,1.6%,-,1,1,1,0,100%,6,0,3,9,319,8.65,15.7,426,-,-,-,-,-,
53,Jayce,1,1.6%,-,1,1,1,0,100%,6,2,11,8.5,237,8.2,13.3,460,-,-,-,-,-,
54,Kayle,1,1.6%,-,1,1,1,0,100%,7,10,13,2,307,6.15,18.4,369,-,-,-,-,-,
55,Sivir,1,1.6%,-,1,1,1,0,100%,7,2,19,13,172,5.73,12.4,413,-,-,-,-,-,
56,Tryndamere,1,1.6%,-,1,1,1,0,100%,5,2,5,5,264,7.67,14,407,-,-,-,-,-,
57,Veigar,1,1.6%,-,1,1,1,0,100%,1,1,4,5,25,0.68,8.8,239,-,-,-,-,-,
58,Volibear,1,1.6%,-,1,1,1,0,100%,8,3,14,7.33,96,2.67,11.7,326,-,-,-,-,-,
59,Dr. Mundo,1,1.6%,-,1,1,0,1,0%,1,7,1,0.29,99,4.14,5.3,221,-,-,-,-,-,
60,Hecarim,1,1.6%,-,1,1,0,1,0%,8,2,7,7.5,173,5.03,11.3,328,-,-,-,-,-,
61,Karma,1,1.6%,-,1,1,0,1,0%,3,7,3,0.86,85,3.55,6.2,259,-,-,-,-,-,
62,Miss Fortune,1,1.6%,-,1,1,0,1,0%,1,3,2,1,214,6.58,9.2,283,-,-,-,-,-,
63,Soraka,1,1.6%,-,1,1,0,1,0%,0,8,8,1,120,4,6.4,213,-,-,-,-,-,
64,Swain,1,1.6%,-,1,1,0,1,0%,2,5,4,1.2,263,7.55,10.7,307,-,-,-,-,-,
65,Teemo,1,1.6%,-,1,1,0,1,0%,3,6,8,1.83,164,4.77,9.3,270,-,-,-,-,-,
66,Xin Zhao,1,1.6%,-,1,1,0,1,0%,1,6,1,0.33,94,2.89,7,215,-,-,-,-,-,
67,Zilean,1,1.6%,-,1,1,0,1,0%,5,7,4,1.29,96,3.2,8.2,273,-,-,-,-,-,
68,Ziggs,1,1.6%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
