,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
0,Zed,63,100%,52,11,9,6,5,54.5%,5.73,3.82,5.36,2.9,230.27,7.33,11.5,365,-,-,-,-,-,
1,Shen,61,96.8%,35,26,13,15,11,57.7%,2.88,2.27,10.12,5.73,201.92,6.08,10.9,329,-,-,-,-,-,
2,Corki,59,93.7%,26,33,12,16,17,48.5%,4.58,2.55,5.06,3.79,249.79,7.73,11.8,364,-,-,-,-,-,
3,Ahri,52,82.5%,26,26,10,12,14,46.2%,4.42,3,5.12,3.18,251.81,7.8,11.6,360,-,-,-,-,-,
4,Zyra,48,76.2%,6,42,12,23,19,54.8%,1.31,2.86,7.45,3.07,33.05,1.03,7,218,-,-,-,-,-,
5,Elise,48,76.2%,11,37,16,16,21,43.2%,2.22,2.95,6.38,2.92,113.08,3.45,8.4,257,-,-,-,-,-,
6,Sona,44,69.8%,8,36,12,13,23,36.1%,0.83,4.31,8.03,2.06,25,0.77,6.7,207,-,-,-,-,-,
7,Orianna,41,65.1%,20,21,10,12,9,57.1%,3.14,2.71,6.48,3.54,261.1,8.93,11,378,-,-,-,-,-,
8,Lee Sin,40,63.5%,14,26,10,16,10,61.5%,2.62,2.15,8,4.93,95.5,3,8.4,265,-,-,-,-,-,
9,Thresh,40,63.5%,22,18,9,9,9,50%,1.33,3.72,8.78,2.72,21.72,0.69,6.7,214,-,-,-,-,-,
10,Aatrox,36,57.1%,16,20,8,12,8,60%,2.35,2.45,5.9,3.37,140.75,4.67,8.6,286,-,-,-,-,-,
11,Fizz,34,54%,22,12,9,6,6,50%,6.25,3.67,5.08,3.09,245.67,6.97,12.6,356,-,-,-,-,-,
12,Renekton,32,50.8%,11,21,8,14,7,66.7%,2.48,1.95,5.52,4.1,228.86,7.14,10.7,333,-,-,-,-,-,
13,Caitlyn,32,50.8%,12,20,9,12,8,60%,4.8,1.9,5.3,5.32,267.8,8.16,12.4,378,-,-,-,-,-,
14,Vi,30,47.6%,17,13,5,7,6,53.8%,2.46,2.77,6.46,3.22,114.62,3.62,8.6,271,-,-,-,-,-,
15,Jarvan IV,26,41.3%,1,25,11,11,14,44%,1.68,3.4,8.84,3.09,96.6,3.04,8,251,-,-,-,-,-,
16,Ezreal,22,34.9%,-,22,12,11,11,50%,5.27,2.45,5.27,4.3,237.86,7.77,11.6,378,-,-,-,-,-,
17,Vayne,22,34.9%,6,16,7,8,8,50%,4,2.63,5.19,3.5,216.75,7.1,10.7,350,-,-,-,-,-,
18,Kassadin,19,30.2%,12,7,5,5,2,71.4%,7.57,2.14,7.43,7,233.14,6.99,12.6,376,-,-,-,-,-,
19,Gragas,18,28.6%,2,16,9,7,9,43.8%,2.69,1.75,3.69,3.64,287.06,8.62,11.8,354,-,-,-,-,-,
20,Zac,17,27%,2,15,6,7,8,46.7%,2.07,2.2,6.2,3.76,190.53,6.35,9.2,307,-,-,-,-,-,
21,Varus,15,23.8%,-,15,8,6,9,40%,5.07,3.33,7,3.62,238,6.85,12,345,-,-,-,-,-,
22,Kennen,15,23.8%,9,6,5,2,4,33.3%,0.83,4.67,4.83,1.21,191.5,5.87,9,277,-,-,-,-,-,
23,Jax,14,22.2%,4,10,4,7,3,70%,3.9,2.6,4.1,3.08,204.8,6.53,10.9,349,-,-,-,-,-,
24,Annie,12,19%,7,5,4,3,2,60%,1.6,5.6,9,1.89,25.2,0.75,7.4,220,-,-,-,-,-,
25,Leona,11,17.5%,1,10,4,7,3,70%,1.1,3.2,10.5,3.63,29.1,0.88,7.3,221,-,-,-,-,-,
26,Twisted Fate,11,17.5%,5,6,4,2,4,33.3%,2,3.17,4.83,2.16,271.67,8.02,12.9,381,-,-,-,-,-,
27,Evelynn,11,17.5%,7,4,2,3,1,75%,5.75,3.25,10.5,5,136.25,3.9,10.6,302,-,-,-,-,-,
28,Rumble,10,15.9%,2,8,5,2,6,25%,2.5,5,8.63,2.23,193.25,5.27,9.8,268,-,-,-,-,-,
29,Lissandra,10,15.9%,4,6,5,3,3,50%,2.83,3,5.17,2.67,231.67,8.1,9.9,346,-,-,-,-,-,
30,Kog'Maw,8,12.7%,1,7,3,5,2,71.4%,4,1.43,5.71,6.8,248.57,7.69,11.8,364,-,-,-,-,-,
31,Fiddlesticks,8,12.7%,2,6,5,4,2,66.7%,1.33,4,11.5,3.21,24.17,0.82,7.2,245,-,-,-,-,-,
32,Twitch,8,12.7%,5,3,2,1,2,33.3%,5,3,6,3.67,254,7.43,12.6,368,-,-,-,-,-,
33,Ashe,7,11.1%,1,6,3,3,3,50%,3.67,2.83,8,4.12,195.5,6.42,10.7,351,-,-,-,-,-,
34,Nocturne,7,11.1%,2,5,3,1,4,20%,1.8,3,4.4,2.07,150.4,4.88,8.5,277,-,-,-,-,-,
35,Vladimir,6,9.5%,-,6,5,2,4,33.3%,2,4.5,3.17,1.15,224.83,7.38,9.8,323,-,-,-,-,-,
36,Singed,6,9.5%,1,5,3,3,2,60%,1.6,2,7.2,4.4,234.8,7.14,10.8,329,-,-,-,-,-,
37,Lulu,5,7.9%,-,5,4,1,4,20%,0,3.6,3.4,0.94,15.8,0.53,5.2,173,-,-,-,-,-,
38,Ryze,5,7.9%,-,5,2,1,4,20%,3.4,4.4,3.8,1.64,218.8,7.33,9.7,324,-,-,-,-,-,
39,Karthus,5,7.9%,2,3,3,1,2,33.3%,5.33,5,5.33,2.13,276.67,7.92,12.4,355,-,-,-,-,-,
40,Nasus,4,6.3%,-,4,3,2,2,50%,1.5,3.5,5.5,2,183.75,6.15,9.1,305,-,-,-,-,-,
