,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
14,Rek'Sai,34,44.2%,16,18,12,8,10,44.4%,1.44,2.5,7.06,3.4,168.44,4.49,13.1,350,-,-,66.2%,11.3%,19.6%,
15,Aurelion Sol,32,41.6%,20,12,10,8,4,66.7%,4.92,2.5,6.67,4.63,286.08,7.58,14.6,387,-,-,76.8%,32.6%,21.3%,
16,Sivir,31,40.3%,11,20,11,10,10,50%,2.3,1.65,5.85,4.94,354.95,9.91,15.1,421,-,-,64.2%,18.1%,23.5%,
17,Gnar,30,39%,12,18,12,7,11,38.9%,2.06,2.61,4.06,2.34,290.61,7.82,13.6,367,-,-,47.8%,16.1%,20.8%,
18,Viktor,29,37.7%,6,23,8,13,10,56.5%,3.7,2.39,3.61,3.05,366.7,9.29,16.4,416,-,-,59.2%,29.9%,22.8%,
19,Alistar,28,36.4%,5,23,16,15,8,65.2%,0.61,2.61,8.48,3.48,38,1,9.8,258,-,-,71.3%,4.8%,14.2%,
20,Cassiopeia,28,36.4%,6,22,10,8,14,36.4%,3.05,2.73,3.82,2.52,301.27,8.36,13.7,380,-,-,62.1%,27.6%,21.8%,
21,Zyra,27,35.1%,5,22,5,14,8,63.6%,1.45,2.77,6.73,2.95,34.23,0.89,11,287,-,-,56.3%,10%,15.4%,
22,Vladimir,27,35.1%,12,15,9,7,8,46.7%,3.33,1.8,4.67,4.44,306.53,7.98,14.1,368,-,-,64.9%,27%,21.2%,
23,Nami,26,33.8%,2,24,12,10,14,41.7%,0.71,2.42,10.33,4.57,22.63,0.56,10.4,257,-,-,81%,5.2%,14.4%,
24,Tahm Kench,23,29.9%,12,11,7,6,5,54.5%,1.45,2.73,7.09,3.13,50.55,1.28,10.6,269,-,-,60.3%,10.3%,14.9%,
25,Bard,17,22.1%,5,12,5,3,9,25%,1,3.92,5.92,1.77,23.08,0.66,8.8,251,-,-,64.3%,9.3%,15.1%,
26,Braum,16,20.8%,-,16,12,6,10,37.5%,0.63,2.38,5.94,2.76,43.75,1.19,9.1,249,-,-,61.4%,5.8%,14.3%,
27,Ashe,15,19.5%,4,11,5,7,4,63.6%,3,2.36,5.55,3.62,385.55,9.33,17.5,424,-,-,64.8%,22.8%,22.8%,
28,Lucian,14,18.2%,1,13,7,7,6,53.8%,4.46,1.77,2.92,4.17,351.46,9.15,16,416,-,-,58.9%,35.6%,23.5%,
29,Malzahar,14,18.2%,3,11,8,5,6,45.5%,3.91,3.18,5.18,2.86,296.64,7.72,14.4,376,-,-,69%,29.7%,21.4%,
30,Orianna,13,16.9%,-,13,6,5,8,38.5%,3.08,2.69,3.54,2.46,422.54,9.45,18.2,407,-,-,65.2%,30.3%,23.1%,
31,Trundle,12,15.6%,1,11,6,6,5,54.5%,2.18,2,5,3.59,376.27,8.27,17.4,383,-,-,58.5%,17.8%,21%,
32,Ekko,11,14.3%,1,10,5,5,5,50%,3,2.3,4.3,3.17,296.1,8.24,13.8,384,-,-,61.3%,25.2%,21.4%,
33,Brand,9,11.7%,8,1,1,1,0,100%,3,1,4,7,32,0.79,12.7,314,-,-,70%,30%,16.8%,
34,Varus,8,10.4%,3,5,4,3,2,60%,2.6,2,4.6,3.6,414.8,8.64,18.9,393,-,-,64.3%,23.2%,22.1%,
35,Zac,8,10.4%,4,4,3,2,2,50%,2.5,2.25,5.75,3.67,191.75,4.35,15.3,348,-,-,67.3%,20.4%,19.2%,
36,Graves,7,9.1%,-,7,5,3,4,42.9%,2.29,2.57,5.86,3.17,171.57,5.09,12.1,360,-,-,64.8%,18.2%,20.8%,
37,Skarner,7,9.1%,1,6,5,4,2,66.7%,1.83,2.17,7.17,4.15,147.67,3.82,13.3,344,-,-,67.5%,13.8%,18.9%,
38,Miss Fortune,7,9.1%,4,3,2,3,0,100%,2,3,8.33,3.44,50.33,1.35,12.4,332,-,-,58.5%,11.3%,16.3%,
39,Irelia,6,7.8%,1,5,4,3,2,60%,4.4,4,2.4,1.7,281.6,7.99,13.9,394,-,-,52.3%,33.8%,21.5%,
40,Twisted Fate,6,7.8%,5,1,1,0,1,0%,0,6,5,0.83,374,7.97,17.9,382,-,-,71.4%,0%,21.7%,
41,Jinx,5,6.5%,-,5,3,2,3,40%,2.4,1.6,4.2,4.13,361,9.58,15.3,406,-,-,63.5%,23.1%,23.2%,
42,Zilean,4,5.2%,-,4,4,1,3,25%,2.75,3.75,4.75,2,356,8.68,15.5,377,-,-,57.7%,21.2%,22.1%,
43,Kassadin,4,5.2%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Hecarim,3,3.9%,-,3,2,2,1,66.7%,2,1.33,6.33,6.25,145.67,4.19,12.1,347,-,-,75.8%,18.2%,19.7%,
45,Lissandra,3,3.9%,-,3,2,2,1,66.7%,3.33,3.33,5.33,2.6,318.33,8.68,14.5,395,-,-,65%,25%,21%,
46,Soraka,3,3.9%,1,2,2,1,1,50%,0.5,3,10.5,3.67,23,0.54,10.9,257,-,-,88%,4%,14.6%,
47,Maokai,2,2.6%,-,2,2,1,1,50%,2.5,2.5,11.5,5.6,281,7.28,13.7,353,-,-,77.8%,13.9%,19.3%,
48,Anivia,2,2.6%,1,1,1,1,0,100%,2,2,5,3.5,302,7.48,15.6,386,-,-,70%,20%,20.6%,
49,Shen,2,2.6%,1,1,1,0,1,0%,3,4,6,2.25,174,6.3,8.9,322,-,-,75%,25%,22%,
50,Nocturne,1,1.3%,-,1,1,1,0,100%,3,2,11,7,166,3.8,16.4,376,-,-,73.7%,15.8%,19.4%,
51,Taric,1,1.3%,-,1,1,1,0,100%,0,7,9,1.29,134,2.02,19.5,294,-,-,56.3%,0%,16.3%,
52,Fiora,1,1.3%,-,1,1,0,1,0%,5,7,5,1.43,263,7.56,13.4,385,-,-,66.7%,33.3%,22.7%,
53,Kha'Zix,1,1.3%,-,1,1,0,1,0%,4,4,3,1.75,164,3.61,14.5,319,-,-,70%,40%,20.1%,
54,Kindred,1,1.3%,-,1,1,0,1,0%,2,5,0,0.4,123,3.91,9.6,305,-,-,66.7%,66.7%,20.3%,
55,Kled,1,1.3%,-,1,1,0,1,0%,1,6,6,1.17,244,7.18,11,324,-,-,50%,7.1%,20.1%,
56,Nautilus,1,1.3%,-,1,1,0,1,0%,1,4,7,2,315,6.93,14.6,321,-,-,80%,10%,20.2%,
