,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
0,Nidalee,77,100%,66,11,10,8,3,72.7%,2.55,2.82,5.45,2.84,195.82,4.92,15.1,380,-,-,62%,19.7%,20.4%,
1,Syndra,75,97.4%,59,16,10,10,6,62.5%,4.81,2.5,4.38,3.68,338.31,9.09,15.5,418,-,-,62.6%,32.8%,22.7%,
2,Olaf,59,76.6%,23,36,14,18,18,50%,2.5,2.28,5.69,3.6,160.17,4.16,13.1,341,-,-,65.8%,20.1%,19.1%,
3,Karma,58,75.3%,16,42,16,19,23,45.2%,0.57,2.52,6.88,2.95,62.07,1.62,10.3,267,-,-,68.2%,5.2%,15.2%,
4,Jhin,51,66.2%,12,39,13,24,15,61.5%,3.87,1.9,5.95,5.18,324.64,8.25,15.7,398,-,-,66.7%,26.3%,21.7%,
5,Elise,50,64.9%,21,29,15,10,19,34.5%,2.21,2.59,4.93,2.76,149.14,3.97,12.6,336,-,-,65.5%,20.3%,19.5%,
6,Caitlyn,49,63.6%,15,34,11,16,18,47.1%,2.74,2.18,4.21,3.19,364.35,9.46,15.9,412,-,-,61.5%,24.2%,23.3%,
7,Jayce,47,61%,21,26,15,15,11,57.7%,2.73,2.85,5.31,2.82,306.65,8.52,14.4,399,-,-,62.2%,21.1%,22%,
8,Ryze,46,59.7%,27,19,11,10,9,52.6%,3.74,1.79,4.47,4.59,322.74,9.06,14.7,412,-,-,63.9%,29.1%,22.9%,
9,Lee Sin,45,58.4%,8,37,13,21,16,56.8%,2.7,2.38,6.3,3.78,152.84,3.83,13.6,341,-,-,65.8%,19.8%,18.8%,
10,Rumble,41,53.2%,9,32,13,16,16,50%,2.38,3.41,4.81,2.11,296.31,7.89,13.9,371,-,-,57.2%,18.9%,21%,
11,Ezreal,39,50.6%,7,32,12,11,21,34.4%,3.81,2.22,3.66,3.37,330.75,8.6,15.2,394,-,-,67.7%,34.6%,22.9%,
12,Poppy,38,49.4%,9,29,11,14,15,48.3%,1.66,2.1,4.66,3,309.31,7.45,14.7,354,-,-,56.3%,14.8%,20.2%,
13,Kennen,37,48.1%,14,23,12,12,11,52.2%,2.78,3.39,4.65,2.19,296.57,7.64,14.4,370,-,-,56.4%,21.1%,20.6%,
